cut,max_wear
1,48.89261732
2,49.57081504
3,50.30286727
4,51.08365203
5,52.25032922
6,56.28276562
7,59.97661561
8,63.3512879
9,66.4253909
10,69.21675719
11,71.74246752
12,74.01887416
13,76.06162381
14,77.88567991
15,79.50534445
16,80.93427925
17,82.18552678
18,83.27153045
19,84.20415441
20,84.99470288
21,85.653939
22,86.19210327
23,86.61893145
24,86.94367205
25,87.17510345
26,87.32155046
27,87.39090058
28,87.39090058
29,87.39090058
30,87.39090058
31,87.39090058
32,87.39090058
33,87.39090058
34,87.39090058
35,87.39090058
36,87.39090058
37,87.39090058
38,87.39090058
39,87.39090058
40,87.39090058
41,87.39090058
42,87.39090058
43,87.39090058
44,87.39090058
45,87.39554943
46,87.92458016
47,88.42988794
48,88.91169574
49,89.37026282
50,89.80588243
51,90.21887955
52,90.60960878
53,90.97845225
54,91.32581757
55,91.65213593
56,91.95786023
57,92.24346325
58,92.50943591
59,92.7562856
60,92.98453457
61,93.19471836
62,93.38738431
63,93.56309014
64,93.72240252
65,93.86589581
66,93.99415074
67,94.10775318
68,94.20729304
69,94.29336308
70,94.36655788
71,94.42747281
72,94.47670304
73,94.51484266
74,94.54248373
75,94.5602155
76,94.56862356
77,94.56862356
78,94.56862356
79,94.56862356
80,94.56862356
81,94.56862356
82,94.56862356
83,94.56862356
84,94.56862356
85,94.56862356
86,94.56862356
87,94.56862356
88,94.56862356
89,94.56862356
90,94.56862356
91,94.56862356
92,94.56862356
93,94.56862356
94,94.56862356
95,94.56862356
96,94.56862356
97,94.56862356
98,94.56862356
99,94.56862356
100,94.56862356
101,94.56862356
102,94.56862356
103,94.56862356
104,94.56862356
105,94.56862356
106,94.56862356
107,94.56862356
108,94.56862356
109,94.56862356
110,94.56862356
111,94.56862356
112,94.56862356
113,94.56862356
114,94.56862356
115,94.56862356
116,94.56862356
117,94.56862356
118,94.56862356
119,94.56862356
120,94.58162515
121,94.88972237
122,95.19110376
123,95.48569329
124,95.77343457
125,96.05429047
126,96.32824273
127,96.59529149
128,96.85545491
129,97.10876863
130,97.35528535
131,97.59507432
132,97.82822082
133,98.05482567
134,98.27500469
135,98.48888816
136,98.69662026
137,98.89835857
138,99.09427345
139,99.2845475
140,99.469375
141,99.64896132
142,99.82352237
143,99.99328397
144,100.1584813
145,100.3193584
146,100.4761675
147,100.6291683
148,100.7786279
149,100.9248194
150,101.1797629
151,101.5974715
152,102.0215369
153,102.4516511
154,102.887502
155,103.328774
156,103.7751482
157,104.2263032
158,104.6819154
159,105.1416593
160,105.6052085
161,106.0722354
162,106.5424124
163,107.0154117
164,107.4909062
165,107.9685697
166,108.4480774
167,108.9291061
168,109.4113349
169,109.8944454
170,110.3781221
171,110.8620528
172,111.3459291
173,111.8294463
174,112.3123042
175,112.7942074
176,113.2748654
177,113.7539929
178,114.2313103
179,114.7065438
180,115.179426
181,115.6496958
182,116.1170987
183,116.5813874
184,117.0423215
185,117.4996682
186,117.9532024
187,118.4027067
188,118.8479717
189,119.2887964
190,119.724988
191,120.1563624
192,120.5827442
193,121.0039667
194,121.4198724
195,121.8303128
196,122.2351485
197,122.6342497
198,123.0274957
199,123.4147755
200,123.7959876
201,124.1710401
202,124.5398507
203,124.9023469
204,125.2584659
205,125.6081548
206,125.9513701
207,126.2880785
208,126.6182561
209,126.941889
210,127.2589728
211,127.5695129
212,127.8735244
213,128.1710319
214,128.4620693
215,128.7466804
216,129.024918
217,129.2968443
218,129.5625308
219,129.8220578
220,130.0755148
221,130.3230002
222,130.5646208
223,130.8004924
224,131.030739
225,131.2554931
226,131.474895
227,131.6890935
228,131.8982448
229,132.1025129
230,132.3020694
231,132.4970931
232,132.6877699
233,132.8742926
234,133.0568608
235,133.2356806
236,133.4109642
237,133.5829302
238,133.7518028
239,133.9178121
240,134.0811934
241,134.2421873
242,134.4010394
243,134.5579999
244,134.7133235
245,134.8672693
246,135.0201002
247,135.172083
248,135.6291837
249,136.2650196
250,136.902076
251,137.540114
252,138.1788957
253,138.8181847
254,139.4577462
255,140.0973471
256,140.7367569
257,141.375747
258,142.0140922
259,142.6515699
260,143.2879608
261,143.9230495
262,144.556624
263,145.1884767
264,145.8184043
265,146.4462078
266,147.0716935
267,147.6946724
268,148.3149609
269,148.9323811
270,149.5467607
271,150.1579333
272,150.765739
273,151.3700239
274,151.970641
275,152.5674499
276,153.1603172
277,153.7491167
278,154.3337295
279,154.914044
280,155.4899564
281,156.0613707
282,156.6281987
283,157.1903603
284,157.7477835
285,158.3004046
286,158.8481684
287,159.3910281
288,159.9289454
289,160.4618907
290,160.9898432
291,161.5127908
292,162.0307303
293,162.5436673
294,163.0516165
295,163.5546014
296,164.0526545
297,164.5458173
298,165.0341403
299,165.5176828
300,165.9965134
301,166.4707092
302,166.9403565
303,167.4055503
304,167.8663945
305,168.3230015
306,168.7754925
307,169.2239972
308,169.6686538
309,170.109609
310,170.5470173
311,170.9810419
312,171.4118535
313,171.839631
314,172.2645609
315,172.6868372
