cut_id,spindle_speed_rpm,feed_rate_mm_min,depth_of_cut_mm,coolant,force_x,force_y,force_z,force_resultant,vibration_x,vibration_y,vibration_z,vibration_rms,ae_rms,flank_wear_um,tool_health_pct,rul_cuts,is_anomaly,anomaly_type
1,10390.8,1552.2,1.508,Flood,126.85,112.7,65.7,181.96,1.22,0.885,0.762,0.975,0.2472,22.23,88.6,304,0,NORMAL
2,10415.8,1560.2,1.488,Flood,128.11,104.94,72.82,180.91,1.223,0.806,0.782,0.959,0.2665,22.23,88.6,303,0,NORMAL
3,10384.8,1550.3,1.498,Flood,129.79,116.54,65.4,186.29,1.226,0.788,0.757,0.948,0.2923,25.37,87.0,302,0,NORMAL
4,10388.6,1560.4,1.493,Flood,136.0,97.82,66.87,180.38,1.186,1.127,0.783,1.047,0.2425,29.14,85.1,301,0,NORMAL
5,10394.3,1553.1,1.54,Flood,145.28,93.25,60.83,183.04,0.997,1.016,1.005,1.006,0.2926,29.14,85.1,300,0,NORMAL
6,10391.3,1555.3,1.508,Flood,130.83,112.17,73.67,187.42,1.171,1.12,0.845,1.055,0.3058,29.14,85.1,299,0,NORMAL
7,10420.5,1553.7,1.503,Flood,135.58,113.53,67.34,189.22,1.113,1.248,0.824,1.076,0.2907,32.81,83.2,298,0,NORMAL
8,10382.9,1560.1,1.507,Flood,129.56,114.12,64.57,184.33,1.271,1.181,0.883,1.124,0.3251,32.81,83.2,297,0,NORMAL
9,10394.3,1559.4,1.521,Flood,139.61,119.77,68.1,196.15,1.248,1.02,0.935,1.076,0.3135,32.81,83.2,296,0,NORMAL
10,10405.0,1556.8,1.499,Flood,132.66,116.11,70.83,189.99,1.048,1.108,0.9,1.022,0.3542,33.82,82.7,295,0,NORMAL
11,10413.2,1550.4,1.491,Flood,132.66,115.96,69.0,189.22,1.239,1.025,0.877,1.057,0.282,33.82,82.7,294,0,NORMAL
12,10394.3,1552.1,1.513,Flood,140.11,118.9,74.95,198.46,1.209,1.017,0.838,1.033,0.3221,33.99,82.6,293,0,NORMAL
13,10371.2,1550.9,1.497,Flood,146.4,119.62,71.78,202.23,0.828,1.168,0.862,0.965,0.2849,36.81,81.1,292,0,NORMAL
14,10397.7,1546.0,1.484,Flood,118.84,122.82,68.11,183.97,1.257,1.039,0.867,1.066,0.2699,36.81,81.1,291,0,NORMAL
15,10420.3,1560.0,1.481,Flood,140.67,124.18,71.88,200.94,1.109,0.887,0.952,0.987,0.2595,36.81,81.1,290,0,NORMAL
16,10404.2,1553.7,1.523,Flood,135.86,129.58,72.77,201.36,1.064,1.042,0.838,0.987,0.3262,37.55,80.7,289,0,NORMAL
17,10403.5,1553.6,1.502,Flood,146.22,109.95,62.89,193.45,1.069,1.106,0.963,1.048,0.3174,37.55,80.7,288,0,NORMAL
18,10384.1,1561.0,1.491,Flood,138.88,123.73,78.17,201.76,1.2,1.357,1.089,1.22,0.3128,41.34,78.8,287,0,NORMAL
19,10382.5,1553.1,1.496,Flood,152.07,116.07,70.19,203.77,1.274,1.136,0.991,1.14,0.2805,41.34,78.8,286,0,NORMAL
20,10400.3,1551.6,1.512,Flood,135.26,111.9,70.33,189.11,1.053,1.246,0.929,1.084,0.3076,41.34,78.8,285,0,NORMAL
21,10378.6,1554.1,1.496,Flood,126.63,119.1,78.91,190.91,1.317,1.255,0.901,1.172,0.3441,47.45,75.7,284,0,NORMAL
22,10411.7,1550.5,1.478,Flood,154.53,129.76,78.89,216.66,1.363,1.408,1.16,1.315,0.3638,47.45,75.7,283,0,NORMAL
23,10387.3,1556.4,1.505,Flood,138.42,129.07,70.92,202.11,1.518,1.401,0.913,1.304,0.3436,47.45,75.7,282,0,NORMAL
24,10399.6,1553.5,1.518,Flood,132.16,128.91,79.19,200.89,1.165,1.403,1.094,1.228,0.3504,47.45,75.7,281,0,NORMAL
25,10371.7,1553.0,1.517,Flood,145.72,123.28,71.69,203.89,1.252,1.083,1.075,1.14,0.3347,47.45,75.7,280,0,NORMAL
26,10394.1,1552.6,1.492,Flood,144.34,126.36,85.28,209.93,1.339,1.311,1.006,1.228,0.3911,48.49,75.1,279,0,NORMAL
27,10382.2,1554.6,1.519,Flood,153.36,133.69,70.72,215.39,1.446,1.372,1.004,1.288,0.322,48.49,75.1,278,0,NORMAL
28,10365.2,1555.3,1.503,Flood,154.95,114.22,77.23,207.41,1.289,1.349,0.875,1.19,0.3341,49.81,74.5,277,0,NORMAL
29,10408.1,1552.9,1.519,Flood,148.17,127.85,71.61,208.4,1.469,1.377,1.07,1.316,0.3393,49.81,74.5,276,0,NORMAL
30,10424.6,1553.6,1.509,Flood,140.42,129.2,88.51,210.35,1.103,1.324,1.103,1.181,0.3676,50.59,74.1,275,0,NORMAL
31,10416.9,1554.7,1.477,Flood,150.41,135.21,69.5,213.86,1.186,1.237,0.95,1.131,0.3282,50.63,74.0,274,0,NORMAL
32,10410.2,1554.3,1.526,Flood,153.39,121.6,81.76,212.13,1.45,1.21,1.085,1.257,0.3741,55.98,71.3,273,0,NORMAL
33,10393.8,1555.1,1.501,Flood,156.82,147.21,74.83,227.73,1.239,1.326,1.102,1.226,0.3748,55.98,71.3,272,0,NORMAL
